symbol,dhan_security_id,name,mcap_inr,cmp
GSFC,1247,Gujarat State Fertilizers & Chemicals,63927746560.0,160.43
GSPCROP,762239,GSP Crop Science,27180906496.0,584.3
GTLINFRA,13745,GTL Infrastructure,15499025408.0,1.21
GUFICBIO,11606,Gufic BioSciences,38498451456.0,383.9
GUJALKALI,1267,Gujarat Alkalies & Chemicals,50429140992.0,686.7
GULFOILLUB,4391,Gulf Oil Lubricants,52692393984.0,1063.3
GULPOLY,6286,Gulshan Polyols,12331594752.0,198.31
GVPIL,7862,GE Power,50551697408.0,751.95
GYFTR,764050,Gyftr,11674853376.0,152.0
HAPPSTMNDS,48,Happiest Minds Technologies,58279092224.0,387.85
HAPPYFORGE,20854,Happy Forgings,156593192960.0,1659.2
HARSHA,11162,Harsha Engineers,37405470720.0,410.85
HATHWAY,18154,Hathway Cable & Datacom,19064025088.0,10.77
HATSUN,3892,Hatsun Agro Product,197354962944.0,886.0
HAWKINCOOK,4444,Hawkins Cookers,45430263808.0,8591.5
HBLENGINE,13966,HBL Engineering,196891557888.0,710.3
HCC,1375,Hindustan Construction Company,56109006848.0,21.42
HCG,15555,Healthcare Global Enterprises,100555038720.0,673.5
HDBFS,757772,HDB Financial Services,562769166336.0,679.3
HEG,1336,HEG,129680900096.0,672.0
HEIDELBERG,2316,Heidelberg Cement,35694432256.0,157.5
HEMIPROP,701,Hemisphere Properties,38394896384.0,134.66
HERITGFOOD,4598,Heritage Foods,30464925696.0,328.3
HESTERBIO,7048,Hester Biosciences,21309696000.0,2505.0
HFCL,21951,HFCL,295952973824.0,193.4
HGINFRA,1672,HG Infra Engineering,34820923392.0,534.3
HGS,14712,Hinduja Global Solutions,19812988928.0,425.9
HIKAL,9668,Hikal,27148359680.0,220.18
HIMATSEIDE,1360,Himatsingka Seide,10134828032.0,80.6
HINDCOPPER,17939,Hindustan Copper,466685788160.0,482.6
HINDOILEXP,1403,Hindustan Oil Exploration,20710621184.0,156.61
HINDWAREAP,15883,Hindware Home Innovation,18389653504.0,219.85
HIRECT,13890,Hind Rectifiers,45512282112.0,1324.1
HITECH,2868,Hi-Tech Pipes,17483757568.0,86.25
HLEGLAS,2289,HLE Glascoat,29879429120.0,430.2
HMAAGRO,17053,HMA Agro Industries,10671403008.0,21.31
HNDFDS,12173,Hindustan Foods,68996104192.0,569.45
HOMEFIRST,2056,Home First Finance Company,122492665856.0,1171.8
HONASA,19813,Mamaearth,146988023808.0,450.85
HONAUT,3417,Honeywell Automation,354602156032.0,40080.0
HONDAPOWER,3138,Honda India Power Products,21412022272.0,2111.0
HPL,18679,HPL Electric & Power,21646757888.0,336.65
HSCL,14334,Himadri Speciality Chemical,388763942912.0,770.5
HUBTOWN,14203,Hubtown,27198064640.0,191.4
HUHTAMAKI,2562,Huhtamaki PPL,22411890688.0,296.76
ICEMAKE,489,Ice Make Refrigeration,12750026752.0,808.0
ICIL,11987,Indo Count Industries,81895464960.0,413.5
ICRA,14523,ICRA,45940625408.0,4773.0
IDBI,1476,IDBI Bank,905782362112.0,84.24
IFBIND,1485,IFB Industries,54015606784.0,1333.1
IFCI,1491,IFCI,192185434112.0,71.33
IFGLEXPOR,436,IFGL Refractories,14085604352.0,195.42
IGARASHI,634,Igarashi Motors,14358917120.0,456.2
IGIL,28378,International Gemological Institute,150132277248.0,347.4
IGL,11262,Indraprastha Gas,213360230400.0,152.4
IGPL,14086,IG Petrochemicals,14165630976.0,460.0
IIFL,11809,IIFL Finance,253451321344.0,595.95
IIFLCAPS,13072,IIFL Capital Services,105822216192.0,336.15
IKIO,16822,IKIO Technologies,15726623744.0,203.5
IKS,28125,Inventurus Knowledge Solutions,306107449344.0,1824.8
IMAGICAA,7672,Imagicaaworld Entertainment,26159773696.0,46.23
IMFA,19235,Indian Metals & Ferro Alloys,73701302272.0,1366.0
IMPAL,12009,India Motor Parts & Accessories,13765439488.0,1103.0
INA,761099,Insolation Energy,24661671936.0,111.87
INDGN,23693,Indegene,125928767488.0,523.55
INDIACEM,1515,India Cements,123448016896.0,398.35
INDIAGLYCO,1521,India Glycols,76913213440.0,1147.5
INDIANHUME,1530,Indian Hume Pipe,20653887488.0,392.05
INDIASHLTR,20556,India Shelter Finance,78696398848.0,722.95
INDIGOPNTS,2048,Indigo Paints,52744564736.0,1105.0
INDIQUBE,757845,Indiqube Spaces,38356729856.0,180.93
INDNIPPON,4747,India Nippon Electricals,26614106112.0,1176.5
INDOCO,11677,Indoco Remedies,20941864960.0,227.2
INDORAMA,10993,Indo Rama Synthetics,13656217600.0,52.3
INDOTHAI,25608,Indo Thai Securities,28045197312.0,218.05
INDRAMEDCO,4751,Indraprastha Medical Corporation,33286467584.0,363.1
INDSWFTLAB,4870,Ind Swift Laboratories,19329818624.0,222.6
INFOBEAN,11027,InfoBeans Technologies,16386145280.0,169.0
INGERRAND,1597,Ingersoll Rand,135518265344.0,4292.9
INNOVACAP,21062,Innova Captab,55628349440.0,972.1
INOXGREEN,12188,Inox Green Energy Services,72927010816.0,181.64
