day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,m9_shard
2026-07-31,M9C,NIITMTS,SELL,ENTRY SELL,290,09:25,565,238.01,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-2.415,,,,,,,,,,,,,,C
2026-07-31,M9C,NITCO,BUY,ENTRY BUY,90,09:20,560,101.68,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.873,,,,,,,,,,,,,,C
2026-07-31,M9C,OLAELEC,BUY,ENTRY BUY,90,09:25,565,37.9,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.291,,,,,,,,,,,,,,C
2026-07-31,M9C,ONEPOINT,BUY,ENTRY BUY,90,09:20,560,57.71,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.263,,,,,,,,,,,,,,C
2026-07-31,M9C,ORCHPHARMA,BUY,ENTRY BUY,90,09:20,560,1000.3,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.03,,,,,,,,,,,,,,C
2026-07-31,M9C,PANAMAPET,BUY,ENTRY BUY,90,09:20,560,440.2,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.195,,,,,,,,,,,,,,C
2026-07-31,M9C,PARAGMILK,BUY,ENTRY BUY,90,09:20,560,215.79,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.484,,,,,,,,,,,,,,C
2026-07-31,M9C,PARAGMILK,SELL,ENTRY SELL,290,09:25,565,214.25,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.233,,,,,,,,,,,,,,C
2026-07-31,M9C,PARKHOTELS,BUY,ENTRY BUY,90,09:20,560,122.33,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.3,,,,,,,,,,,,,,C
2026-07-31,M9C,PDSL,BUY,ENTRY BUY,90,09:20,560,348.4,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.331,,,,,,,,,,,,,,C
2026-07-31,M9C,POKARNA,BUY,ENTRY BUY,90,09:20,560,933.7,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,2.267,,,,,,,,,,,,,,C
2026-07-31,M9C,PRECWIRE,BUY,ENTRY BUY,90,09:20,560,362.55,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.413,,,,,,,,,,,,,,C
2026-07-31,M9C,QUADFUTURE,BUY,ENTRY BUY,90,09:25,565,350.1,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.508,,,,,,,,,,,,,,C
2026-07-31,M9C,RANEHOLDIN,BUY,ENTRY BUY,90,09:20,560,1752.1,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.349,,,,,,,,,,,,,,C
2026-07-31,M9C,RATNAVEER,SELL,ENTRY SELL,290,09:20,560,182.37,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.767,,,,,,,,,,,,,,C
2026-07-31,M9C,RAYMONDREL,BUY,ENTRY BUY,90,09:20,560,650.65,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,1.19,,,,,,,,,,,,,,C
2026-07-31,M9C,RKFORGE,BUY,ENTRY BUY,90,09:25,565,629.7,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,0.655,,,,,,,,,,,,,,C
2026-07-31,M9C,RTNPOWER,SELL,ENTRY SELL,290,09:20,560,8.38,,,0,0,"scanner-table preview (90/290) — no TradingView chart label, blocked",0.411,-0.119,,,,,,,,,,,,,,C
