day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,m9_shard,cf_net,cf_r,cf_exit,mfe_r,mae_r,mfe30_r,mfe60_r,eod_pct,bear_close,day_regime
2026-07-31,M1,INDHOTEL,BUY,ENTRY BUY,90,09:20,560,756.35,60.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.062,TRAVEL,,,,,,,,,,,,,,-688,-1.0,100% SL 10:15,0.12,2.14,0.12,0.12,-2.19,0.476,MIXED
2026-07-31,M1,IOC,SELL,ENTRY SELL,290,09:20,560,139.46,135.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.243,OIL,,,,,,,,,,,,,,-417,-1.0,100% SL 12:30,0.65,1.34,0.65,0.65,-0.38,0.476,MIXED
2026-07-31,M1,ITC,SELL,ENTRY SELL,290,09:25,565,283.75,59.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.63,FMCG,,,,,,,,,,,,,,254,0.92,100% trail 12:10,1.75,0.28,1.26,1.26,0.97,0.476,MIXED
2026-07-31,M1,JSWENERGY,BUY,ENTRY BUY,90,09:20,560,545.95,114.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.525,ENE,,,,,,,,,,,,,,694,2.07,100% trail 13:10,2.7,0.22,0.9,0.97,1.68,0.476,MIXED
2026-07-31,M1,KFINTECH,BUY,ENTRY BUY,90,09:25,565,950.6,188.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.133,CAPMKTS,,,,,,,,,,,,,,-777,-0.79,100% EOD 15:20,0.33,0.91,0.33,0.33,-1.54,0.476,MIXED
2026-07-31,M1,LAURUSLABS,BUY,ENTRY BUY,90,09:20,560,1799.1,74.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.977,PHA,,,,,,,,,,,,,,344,1.1,100% trail 11:05,1.9,0.28,1.79,1.79,0.88,0.476,MIXED
2026-07-31,M1,LTF,BUY,ENTRY BUY,90,09:20,560,312.6,189.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,2.157,FIN,,,,,,,,,,,,,,-366,-0.33,100% EOD 15:20,0.24,0.47,0.24,0.24,-0.51,0.476,MIXED
2026-07-31,M1,LUPIN,SELL,ENTRY SELL,290,09:20,560,2415.9,42.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.169,PHA,,,,,,,,,,,,,,-129,-0.15,100% EOD 15:20,0.61,0.78,0.33,0.41,0.08,0.476,MIXED
2026-07-31,M1,MARICO,SELL,ENTRY SELL,290,09:25,565,877.05,104.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-1.122,FMCG,,,,,,,,,,,,,,360,0.63,100% EOD 15:20,0.75,0.27,0.34,0.36,0.92,0.476,MIXED
2026-07-31,M1,MAZDOCK,BUY,ENTRY BUY,90,09:20,560,2347.7,6.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.933,DEF,,,,,,,,,,,,,,658,1.83,100% trail 12:40,2.79,0.47,1.0,2.79,1.46,0.476,MIXED
2026-07-31,M1,MCX,BUY,ENTRY BUY,90,09:25,565,2693.0,51.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.444,CAPMKTS,,,,,,,,,,,,,,-103,-0.07,100% EOD 15:20,0.47,0.78,0.47,0.47,-0.03,0.476,MIXED
2026-07-31,M1,MOTHERSON,BUY,ENTRY BUY,90,09:20,560,148.24,179.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.057,AUTO,,,,,,,,,,,,,,777,1.39,100% trail 13:20,2.25,0.35,0.78,0.95,1.83,0.476,MIXED
2026-07-31,M1,MOTILALOFS,BUY,ENTRY BUY,90,09:20,560,852.1,208.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.816,CAPMKTS,,,,,,,,,,,,,,-136,-0.07,100% EOD 15:20,0.53,0.32,0.47,0.47,0.06,0.476,MIXED
2026-07-31,M1,MUTHOOTFIN,BUY,ENTRY BUY,90,09:20,560,3055.5,37.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.512,FIN,,,,,,,,,,,,,,163,0.38,100% trail 10:45,2.18,0.5,1.12,1.12,2.39,0.476,MIXED
2026-07-31,M1,NAM-INDIA,BUY,ENTRY BUY,90,09:20,560,1162.6,33.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.272,CAPMKTS,,,,,,,,,,,,,,-136,-0.07,100% EOD 15:20,0.6,0.46,0.22,0.22,-0.09,0.476,MIXED
2026-07-31,M1,NBCC,BUY,ENTRY BUY,90,09:20,560,94.58,44.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.885,PSE,,,,,,,,,,,,,,150,0.5,100% trail 14:40,1.08,0.81,0.64,0.64,0.18,0.476,MIXED
2026-07-31,M1,NESTLEIND,SELL,ENTRY SELL,290,09:25,565,1513.7,118.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.349,FMCG,,,,,,,,,,,,,,338,0.83,100% trail 14:50,1.04,0.34,0.24,0.24,0.57,0.476,MIXED
2026-07-31,M1,NHPC,BUY,ENTRY BUY,90,09:20,560,78.56,56.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.512,ENE,,,,,,,,,,,,,,105,0.42,100% EOD 15:20,0.45,0.84,0.33,0.33,0.18,0.476,MIXED
2026-07-31,M1,NUVAMA,BUY,ENTRY BUY,90,09:20,560,1808.0,,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.5,CAPMKTS,,,,,,,,,,,,,,775,2.13,100% trail 10:40,2.81,1.52,2.13,2.81,-1.0,0.476,MIXED
2026-07-31,M1,NYKAA,BUY,ENTRY BUY,90,09:20,560,337.8,24.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.138,NEWAGE,,,,,,,,,,,,,,-498,-1.0,100% SL 09:50,0.07,2.44,0.07,0.07,-1.18,0.476,MIXED
2026-07-31,M1,OBEROIRLTY,BUY,ENTRY BUY,90,09:25,565,1827.7,180.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.7,REALTY,,,,,,,,,,,,,,-96,-0.04,100% EOD 15:20,0.4,0.43,0.4,0.4,-0.15,0.476,MIXED
2026-07-31,M1,ONGC,SELL,ENTRY SELL,290,09:20,560,239.3,63.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.829,OIL,,,,,,,,,,,,,,-581,-1.0,100% SL 13:10,0.48,1.54,0.48,0.48,-1.25,0.476,MIXED
2026-07-31,M1,PAYTM,BUY,ENTRY BUY,90,09:20,560,1347.3,169.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.232,NEWAGE,,,,,,,,,,,,,,-440,-0.42,100% EOD 15:20,0.5,0.65,0.07,0.07,-0.73,0.476,MIXED
2026-07-31,M1,PETRONET,SELL,ENTRY SELL,290,09:20,560,277.55,171.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.52,OIL,,,,,,,,,,,,,,-431,-1.0,100% SL 10:20,0.31,1.96,0.31,0.31,-0.9,0.476,MIXED
2026-07-31,M1,PHOENIXLTD,BUY,ENTRY BUY,90,09:20,560,1894.1,67.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.318,REALTY,,,,,,,,,,,,,,303,1.12,100% trail 11:50,1.74,0.7,0.9,1.06,-0.06,0.476,MIXED
2026-07-31,M1,PIDILITIND,BUY,ENTRY BUY,90,09:20,560,1636.1,109.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.374,CHEMICALS,,,,,,,,,,,,,,-351,-1.0,100% SL 09:25,0.2,3.98,0.2,0.2,-1.74,0.476,MIXED
2026-07-31,M1,PIDILITIND,SELL,ENTRY SELL,290,09:25,565,1624.0,109.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.368,CHEMICALS,,,,,,,,,,,,,,334,1.01,100% EOD 15:20,1.73,1.04,0.2,0.2,1.01,0.476,MIXED
2026-07-31,M1,PIIND,SELL,ENTRY SELL,290,09:20,560,2759.7,154.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.73,CHEMICALS,,,,,,,,,,,,,,31,0.26,100% EOD 15:20,0.89,0.36,0.52,0.52,0.09,0.476,MIXED
2026-07-31,M1,POLICYBZR,BUY,ENTRY BUY,90,09:20,560,1607.1,111.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.822,INSURANCE,,,,,,,,,,,,,,-231,-0.38,100% EOD 15:20,0.48,0.92,0.48,0.48,-0.26,0.476,MIXED
2026-07-31,M1,PREMIERENE,BUY,ENTRY BUY,90,09:20,560,991.3,38.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.742,GREEN,,,,,,,,,,,,,,552,1.26,100% trail 11:50,3.5,0.5,0.85,1.88,2.68,0.476,MIXED
2026-07-31,M1,RADICO,SELL,ENTRY SELL,290,09:20,560,4327.1,19.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.959,FMCG,,,,,,,,,,,,,,-619,-1.0,100% SL 10:20,0.13,1.29,0.09,0.09,-0.55,0.476,MIXED
2026-07-31,M1,RELIANCE,BUY,ENTRY BUY,90,09:25,565,1297.3,170.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.613,ENE,,,,,,,,,,,,,,-184,-1.0,100% SL 09:30,4.84,1.45,1.41,1.45,0.59,0.476,MIXED
2026-07-31,M1,RVNL,BUY,ENTRY BUY,90,09:20,560,223.11,155.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,0.036,RAILWAYS,,,,,,,,,,,,,,114,0.86,100% trail 10:15,3.25,0.46,0.79,1.09,0.87,0.476,MIXED
2026-07-31,M1,SBILIFE,BUY,ENTRY BUY,90,09:20,560,1896.5,115.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,1.575,INSURANCE,,,,,,,,,,,,,,-590,-1.0,100% SL 11:35,0.12,1.34,0.12,0.12,-0.32,0.476,MIXED
2026-07-31,M1,SHREECEM,SELL,ENTRY SELL,290,09:20,560,26310.0,61.0,,0,0,"scanner-table preview signal (90/290) — no TradingView chart label, blocked",0.452,-0.754,CEMENT,,,,,,,,,,,,,,127,0.89,100% trail 10:10,4.15,1.43,0.59,1.23,-1.06,0.476,MIXED
